contract_key_canon,source,source_record_id,source_dataset,buyer_name,buyer_id,supplier_name,supplier_id,contract_title,procedure,publication_date,award_date,estimated_value_eur,awarded_value_eur,cpv_codes_raw,cpv_code_list,source_file
14010DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140322,boe,BOE-B-2014-10346,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía Aérea en el ámbito del País Vasco y La Rioja.,Abierto,2014-03-22 00:00:00,,142073.12,,71354000 (Servicios de cartografía).,['71000000' '71354000'],boe_sample.csv
14012DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140322,boe,BOE-B-2014-10347,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía Aérea en el ámbito de Castilla León NW y SE.,Abierto,2014-03-22 00:00:00,,196227.27,,71354000 (Servicios de cartografía).,['71000000' '71354000'],boe_sample.csv
14008DIRECCIONGENERALDELINSTITUTOGEOGRAFICONACIONAL20140322,boe,BOE-B-2014-10348,boe_2014_2024,Dirección General del Instituto Geográfico Nacional.,MINISTERIO DE FOMENTO,No disponible,,Vuelo fotogramétrico para la producción de ortofotos incluidas en el Plan Nacional de Ortofotografía Aérea en el ámbito de Asturias y Cantabria.,Abierto,2014-03-22 00:00:00,,184244.63,,71354000 (Servicios de cartografía).,['71000000' '71354000'],boe_sample.csv
452A6111002/2013CONFEDERACIONHIDROGRAFICADELDUERO20140329,boe,BOE-B-2014-11296,boe_2014_2024,Confederación Hidrográfica del Duero.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Asistencia técnica a la gestión del sistema de auscultación y a la explotación de las presas: el Pontón Alto, Castro de las Cogotas, Linares del Arroyo y San José"".",Abierto,2014-03-29 00:00:00,,824654.13,,71311100-2.,['71000000' '71311100'],boe_sample.csv
452A6111006/2013CONFEDERACIONHIDROGRAFICADELDUERO20140401,boe,BOE-B-2014-11700,boe_2014_2024,Confederación Hidrográfica del Duero.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Asistencia técnica a la gestión del sistema de auscultación y a la explotación de las presas de Barrios de Luna, Villameca, Selga de Ordás, Benamarias, Valdesamario y Azud de Santa Marina"".",Abierto,2014-04-01 00:00:00,,1007760.47,,71311100-2.,['71000000' '71311100'],boe_sample.csv
452A6111005/2013CONFEDERACIONHIDROGRAFICADELDUERO20140401,boe,BOE-B-2014-11701,boe_2014_2024,Confederación Hidrográfica del Duero.,"MINISTERIO DE AGRICULTURA, ALIMENTACIÓN Y MEDIO AMBIENTE",No disponible,,"Asistencia técnica a la gestión del sistema de auscultación y a la explotación de las presas de Santa Teresa, Villagonzalo, Irueña, Agueda, Riolobos y El Milagro"".",Abierto,2014-04-01 00:00:00,,941252.49,,71311100-2.,['71000000' '71311100'],boe_sample.csv
0100DGT23728DIRECCIONGENERALDETRAFICO20140402,boe,BOE-B-2014-11841,boe_2014_2024,Dirección General de Tráfico.,MINISTERIO DEL INTERIOR,No disponible,,Servicio de consultoría en materia de coordinación de seguridad y salud en las actuaciones por los diversos contratos de mantenimiento en las carreteras del entorno de Madrid.,Abierto,2014-04-02 00:00:00,,160000.0,,"50230000 (Servicios de reparación, mantenimiento y servicios asociados relacionados con carreteras y otros equipos).",['50200000' '71000000' '50230000'],boe_sample.csv
3074/132AC529/13DIRECCIONGENERALDECARRETERAS20140403,boe,BOE-B-2014-12041,boe_2014_2024,Dirección General de Carreteras,MINISTERIO DE FOMENTO,"TECNICA Y PROYECTOS, S.A.",,"Coordinación en materia de seguridad y salud, en las actuaciones de conservación y explotación en la Red de Carreteras del Estado en la Comunidad Valenciana. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,2014-04-03 00:00:00,,604758.0,405533.44,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
3077/132AC550/13DIRECCIONGENERALDECARRETERAS20140403,boe,BOE-B-2014-12042,boe_2014_2024,Dirección General de Carreteras,MINISTERIO DE FOMENTO,"HISPANICA PREVENCIÓN, S.L.",,"Coordinación en materia de seguridad y salud, en las actuaciones de conservación y explotación en la Red de Carreteras del Estado en Aragón. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,2014-04-03 00:00:00,,565016.76,392040.0,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
3069/132AC511/13DIRECCIONGENERALDECARRETERAS20140403,boe,BOE-B-2014-12043,boe_2014_2024,Dirección General de Carreteras,MINISTERIO DE FOMENTO,"HISPANICA PREVENCIÓN, S.L.",,"Coordinación en materia de seguridad y salud, en las actuaciones de conservación y explotación en la Red de Carreteras del Estado en Cantabria. Coeficiente de mayoración de la puntuación económica: 1,5.",Abierto,2014-04-03 00:00:00,,290283.84,195003.6,71300000 (Servicios de ingeniería).,['71000000' '71300000'],boe_sample.csv
30109/131TT002/13DIRECCIONGENERALDECARRETERAS20140404,boe,BOE-B-2014-12141,boe_2014_2024,Dirección General de Carreteras,MINISTERIO DE FOMENTO,"EUROCONSULT NUEVAS TECNOLOGIAS, S.A., Y GEOTECNIA Y CIMIENTOS, S.A. (UTE).",,Auscultación de la capacidad estructural del firme en diversos tramos de la Red de Carreteras del Estado. Coeficiente de mayoración de la puntuación económica: 1.,Abierto,2014-04-04 00:00:00,,1390000.0,1376100.0,71311000 (Servicios de consultoría en ingeniería civil).,['71000000' '71311000'],boe_sample.csv
